Word,Count
Thank,7
you,11
very,13
much.,1
Mr.,2
"Speaker,",1
Vice,1
"President,",3
Members,2
of,149
"Congress,",1
the,219
First,1
Lady,1
United,12
"States,",2
and,187
citizens,8
America:,1
"Tonight,",2
as,21
we,67
mark,1
conclusion,1
our,108
celebration,1
Black,1
History,1
"Month,",1
are,37
reminded,1
Nation's,2
path,1
towards,1
civil,2
rights,4
work,9
that,59
still,1
remains,1
to,144
be,27
done.,1
Recent,1
threats,1
targeting,1
Jewish,2
community,1
centers,1
vandalism,1
"cemeteries,",1
well,1
last,6
week's,1
shooting,1
in,72
Kansas,1
"City,",1
remind,1
us,17
while,3
may,1
a,92
nation,4
divided,1
on,26
"policies,",1
country,11
stands,1
united,2
condemning,1
hate,1
evil,1
all,30
its,9
ugly,1
forms.,1
Each,1
American,32
generation,1
passes,1
torch,2
"truth,",1
"liberty,",1
justice,1
an,16
unbroken,1
"chain,",1
way,4
down,9
present.,1
That,2
is,58
now,9
"hands,",1
will,56
use,2
it,10
light,1
up,5
world.,8
I,38
am,12
here,2
tonight,7
deliver,2
message,2
unity,1
"strength,",1
deeply,1
delivered,2
from,22
my,7
heart.,1
A,2
new,18
chapter,2
greatness,2
beginning.,1
national,6
pride,1
sweeping,1
across,10
Nation.,3
And,19
surge,1
optimism,1
placing,1
impossible,1
dreams,4
firmly,1
within,1
grasp.,1
What,3
witnessing,1
today,2
renewal,2
spirit.,2
Our,8
allies,4
find,5
America,20
once,2
again,1
ready,2
lead.,1
All,1
nations,3
world—friend,1
or,7
foe—will,1
"strong,",1
"proud,",1
free.,2
In,6
9,1
"years,",2
States,7
celebrate,3
250th,4
anniversary,1
founding:,1
250,2
years,4
since,7
day,2
declared,1
independence.,1
It,6
one,13
great,13
milestones,1
history,2
But,14
what,4
look,4
like,5
reach,1
year?,1
kind,2
leave,3
for,54
children?,1
not,26
allow,4
mistakes,2
recent,1
decades,2
past,4
define,1
course,1
future.,2
For,3
too,6
"long,",2
we've,4
watched,1
middle,3
class,1
shrink,1
exported,1
jobs,4
wealth,1
foreign,6
countries.,1
We've,4
financed,1
built,1
global,1
project,1
after,1
"another,",1
but,10
ignored,2
fates,1
children,6
inner,2
cities,3
"Chicago,",2
"Baltimore,",1
"Detroit,",1
so,15
many,12
other,8
places,2
throughout,4
land.,2
defended,1
borders,2
"nations,",2
leaving,1
own,4
wide,1
open,1
anyone,1
cross,1
drugs,3
pour,1
at,15
unprecedented,1
rate.,2
spent,2
trillions,2
dollars,4
"overseas,",1
infrastructure,5
home,6
has,13
badly,2
crumbled.,1
"Then,",1
"2016,",1
Earth,1
shifted,1
beneath,1
feet.,1
The,12
rebellion,1
started,1
quiet,2
"protest,",1
spoken,1
by,25
families,3
colors,1
"creeds,",1
who,18
just,13
wanted,2
fair,5
shot,2
their,17
hearing,1
concerns.,1
then,4
voices,1
became,2
loud,1
"chorus,",1
thousands,3
spoke,2
out,7
"together,",1
small,2
"large,",1
country.,7
"Finally,",3
chorus,1
"earthquake,",1
people,10
turned,1
tens,3
"millions,",1
they,23
were,6
"simple,",1
crucial,1
demand:,1
must,19
put,2
first.,1
Because,1
only,5
can,11
truly,3
make,6
again.,1
Dying,1
industries,1
come,4
roaring,1
back,3
life.,2
Heroic,1
veterans,2
get,6
care,3
desperately,1
need.,2
military,4
given,2
resources,3
brave,3
warriors,1
richly,1
